Username,Class participation Points Grade <Numeric MaxPoints:10 Weight:10>,Midterm Exam Points Grade <Numeric MaxPoints:100 Weight:30>,Final Exam Points Grade <Numeric MaxPoints:100 Weight:40>,Module 1 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 2 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 3 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 4 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 5 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 6 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 7 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 8 Python Points Grade <Numeric MaxPoints:100 Weight:25 Category:Python exercises CategoryWeight:20>,Module 9 Python Points Grade <Numeric MaxPoints:100 Weight:25 Category:Python exercises CategoryWeight:20>,Module 10 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Python exercises Subtotal Numerator,Python exercises Subtotal Denominator,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Adjusted Final Grade Numerator,Adjusted Final Grade Denominator,End-of-Line Indicator
#150804.teststudent1,,,,,,,,,,,,,,0.0,20,0.0,100,,,#
#150804.teststudent2,,,,,,,,,,,,,,0.0,20,0.0,100,,,#
#a32li,,,,66.66666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.4444,,13.33333333,20,13.33333333,100,,,#
#a369wang,,,,83.33333333,100.0,100.0,100.0,12.5,84.6154,50.0,100.0,0.0,,11.63060917,20,11.63060917,100,,,#
#a3sasith,,,,83.33333333,100.0,66.6667,94.4444,87.5,76.8,90.0,0.0,61.1111,,7.484305417,20,7.484305417,100,,,#
#a4parent,,,,66.66666667,40.0,16.6667,0.0,0.0,0.0,0.0,33.3333,0.0,,3.208332083,20,3.208332083,100,,,#
#a77xu,,,,50.0,100.0,100.0,55.5556,0.0,100.0,80.0,88.8889,100.0,,10.51389,20,10.51389,100,,,#
#a7sun,,,,100.0,100.0,66.6667,88.8889,87.5,100.0,80.0,0.0,75.0,,7.788195,20,7.788195,100,,,#
#alharina,,,,100.0,100.0,100.0,94.4444,62.5,100.0,90.0,100.0,94.4444,,13.086805,20,13.086805,100,,,#
#am2dave,,,,91.66666667,100.0,100.0,53.3333,50.0,100.0,90.0,55.5556,27.7778,,10.09027958,20,10.09027958,100,,,#
#amirzaei,,,,100.0,100.0,100.0,61.1111,50.0,84.6154,100.0,55.5556,61.1111,,10.22436125,20,10.22436125,100,,,#
#asmetani,,,,100.0,100.0,100.0,72.2222,62.5,100.0,100.0,100.0,0.0,,12.9340275,20,12.9340275,100,,,#
#avataliy,,,,16.66666667,40.0,0.0,0.0,0.0,84.6154,0.0,100.0,94.4444,,6.766025833,20,6.766025833,100,,,#
#ayzheng,,,,100.0,100.0,100.0,44.4444,100.0,84.6154,100.0,88.8889,100.0,,12.3076925,20,12.3076925,100,,,#
#b29li,,,,75.0,60.0,100.0,100.0,62.5,92.3077,90.0,88.8889,100.0,,11.69204125,20,11.69204125,100,,,#
#bdindyal,,,,100.0,60.0,66.6667,88.8889,62.5,100.0,100.0,100.0,100.0,,12.225695,20,12.225695,100,,,#
#bliang,,,,83.33333333,100.0,66.6667,50.0,12.5,100.0,100.0,100.0,94.4444,,11.40625042,20,11.40625042,100,,,#
#c27zhang,,,,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,,13.625,20,13.625,100,,,#
#c38chen,,,,100.0,100.0,100.0,100.0,50.0,100.0,0.0,100.0,100.0,,11.875,20,11.875,100,,,#
#dmakul,,,,75.0,100.0,100.0,100.0,100.0,69.2308,80.0,100.0,0.0,,12.802885,20,12.802885,100,,,#
#e6wang,,,,100.0,100.0,100.0,88.8889,62.5,100.0,100.0,100.0,94.4444,,13.14236125,20,13.14236125,100,,,#
#fkxie,,,,91.66666667,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,,12.39583333,20,12.39583333,100,,,#
#GZHANGHO,,,,100.0,100.0,100.0,72.2222,25.0,100.0,70.0,55.5556,100.0,,9.8680575,20,9.8680575,100,,,#
#h48wang,,,,33.33333333,100.0,66.6667,77.7778,50.0,100.0,50.0,100.0,100.0,,10.97222292,20,10.97222292,100,,,#
#h5hong,,,,0.0,40.0,0.0,50.0,25.0,100.0,50.0,100.0,100.0,,8.3125,20,8.3125,100,,,#
#h6hassan,,,,100.0,100.0,100.0,66.6667,62.5,92.3077,80.0,100.0,100.0,,12.51843,20,12.51843,100,,,#
#i4ullah,,,,33.33333333,100.0,100.0,0.0,50.0,100.0,90.0,100.0,100.0,,10.91666667,20,10.91666667,100,,,#
#i5bansal,,,,100.0,100.0,100.0,94.4444,50.0,100.0,100.0,55.5556,94.4444,,10.833335,20,10.833335,100,,,#
#i8zhao,,,,100.0,60.0,100.0,66.6667,37.5,69.2308,50.0,100.0,100.0,,11.04246875,20,11.04246875,100,,,#
#j262cao,,,,0.0,32.0,100.0,100.0,37.5,100.0,80.0,0.0,100.0,,5.61875,20,5.61875,100,,,#
#j3hyeon,,,,0.0,100.0,100.0,55.5556,37.5,100.0,80.0,88.8889,0.0,,10.35764,20,10.35764,100,,,#
#j4zeng,,,,75.0,40.0,50.0,66.6667,0.0,30.7692,50.0,22.2222,52.7778,,5.01655875,20,5.01655875,100,,,#
#j79chen,,,,100.0,100.0,100.0,0.0,25.0,69.2308,0.0,100.0,0.0,,9.927885,20,9.927885,100,,,#
#j8hong,,,,91.66666667,100.0,100.0,0.0,62.5,100.0,70.0,100.0,94.4444,,11.55208333,20,11.55208333,100,,,#
#jjchen,,,,91.66666667,60.0,100.0,100.0,62.5,92.3077,90.0,100.0,100.0,,12.45592958,20,12.45592958,100,,,#
#jren,,,,83.33333333,100.0,100.0,0.0,37.5,38.4615,40.0,66.6667,91.6667,,8.324520417,20,8.324520417,100,,,#
#jrljuben,,,,83.33333333,60.0,50.0,66.6667,12.5,53.8462,50.0,66.6667,63.8889,,8.037662917,20,8.037662917,100,,,#
#k36wang,,,,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,,13.5,20,13.5,100,,,#
#k373chen,,,,83.33333333,40.0,100.0,55.5556,0.0,100.0,70.4,100.0,100.0,,10.61611167,20,10.61611167,100,,,#
#kkmkwong,,,,58.33333333,60.0,16.6667,55.5556,37.5,53.8462,40.0,66.6667,55.5556,,6.888357917,20,6.888357917,100,,,#
#l36su,,,,16.66666667,40.0,100.0,55.5556,62.5,84.6154,50.0,33.3333,0.0,,6.783385833,20,6.783385833,100,,,#
#l73li,,,,100.0,100.0,66.6667,94.4444,62.5,92.3077,90.0,100.0,94.4444,,12.573985,20,12.573985,100,,,#
#l84li,,,,16.66666667,0.0,100.0,0.0,0.0,0.0,50.0,100.0,0.0,,7.083333333,20,7.083333333,100,,,#
#lzaharia,,,,100.0,100.0,100.0,55.5556,37.5,46.1538,90.0,100.0,100.0,,11.6151175,20,11.6151175,100,,,#
#m44li,,,,66.66666667,100.0,66.6667,94.4444,25.0,69.2308,70.0,100.0,100.0,,11.15010708,20,11.15010708,100,,,#
#m4luong,,,,100.0,100.0,100.0,100.0,62.5,100.0,70.0,100.0,100.0,,12.90625,20,12.90625,100,,,#
#m9cheng,,,,100.0,60.0,100.0,94.4444,62.5,84.6154,100.0,100.0,66.6667,,12.5194975,20,12.5194975,100,,,#
#m9yang,,,,100.0,100.0,100.0,66.6667,100.0,100.0,100.0,100.0,44.4444,,13.33333375,20,13.33333375,100,,,#
#mbutt,,,,100.0,100.0,100.0,94.4444,0.0,69.2308,100.0,100.0,100.0,,12.04594,20,12.04594,100,,,#
#mkjshen,,,,83.33333333,60.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,,12.91666667,20,12.91666667,100,,,#
#n4chu,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,13.75,20,13.75,100,,,#
#ndsouza,,,,50.0,100.0,100.0,72.2222,100.0,100.0,90.0,88.8889,100.0,,12.0972225,20,12.0972225,100,,,#
#owyan,,,,100.0,100.0,33.3333,0.0,37.5,76.9231,0.0,100.0,100.0,,9.346955,20,9.346955,100,,,#
#pbalakri,,,,100.0,100.0,100.0,94.4444,100.0,100.0,90.0,100.0,100.0,,13.555555,20,13.555555,100,,,#
#pcampose,,,,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,69.4444,,3.75,20,3.75,100,,,#
#r262xu,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20,0.0,100,,,#
#r2anjum,,,,100.0,100.0,100.0,88.8889,50.0,100.0,90.0,100.0,77.7778,,12.86111125,20,12.86111125,100,,,#
#r3mercha,,,,100.0,80.0,100.0,72.2222,100.0,100.0,90.0,0.0,97.2222,,8.0277775,20,8.0277775,100,,,#
#r4mercha,,,,83.33333333,100.0,100.0,72.2222,100.0,100.0,90.0,0.0,97.2222,,8.069444167,20,8.069444167,100,,,#
#r4sha,,,,100.0,100.0,100.0,100.0,100.0,84.6154,100.0,100.0,100.0,,13.5576925,20,13.5576925,100,,,#
#r67zhang,,,,75.2,100.0,100.0,33.3333,0.0,100.0,40.0,100.0,83.3333,,10.60666625,20,10.60666625,100,,,#
#rydu,,,,91.66666667,100.0,100.0,94.4444,100.0,53.8462,90.0,100.0,100.0,,12.87446583,20,12.87446583,100,,,#
#s4suthak,,,,100.0,100.0,100.0,0.0,62.5,92.3077,90.0,100.0,94.4444,,11.81009625,20,11.81009625,100,,,#
#s5feng,,,,100.0,60.0,100.0,94.4444,62.5,76.9231,0.0,100.0,55.5556,,11.17334375,20,11.17334375,100,,,#
#s9shahza,,,,16.66666667,40.0,100.0,22.2222,12.5,100.0,50.0,44.4444,80.5556,,6.489580833,20,6.489580833,100,,,#
#tshebers,,,,91.66666667,100.0,33.3333,33.3333,37.5,46.1538,60.0,0.0,100.0,,5.024838333,20,5.024838333,100,,,#
#vhjnan,,,,100.0,100.0,66.6667,22.2222,25.0,100.0,80.0,0.0,61.1111,,6.17361125,20,6.17361125,100,,,#
#x38liu,,,,50.0,100.0,66.6667,94.4444,50.0,100.0,50.0,100.0,100.0,,11.38888875,20,11.38888875,100,,,#
#y323wang,,,,66.66666667,100.0,100.0,100.0,25.0,76.9231,50.0,100.0,0.0,,11.48237208,20,11.48237208,100,,,#
#y49yang,,,,91.66666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,13.64583333,20,13.64583333,100,,,#
