Username,Class participation Points Grade <Numeric MaxPoints:10 Weight:10>,Midterm Exam Points Grade <Numeric MaxPoints:100 Weight:30>,Final Exam Points Grade <Numeric MaxPoints:100 Weight:40>,Module 1 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 2 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 3 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 4 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 5 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 6 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 7 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 8 Python Points Grade <Numeric MaxPoints:100 Weight:25 Category:Python exercises CategoryWeight:20>,Module 9 Python Points Grade <Numeric MaxPoints:100 Weight:25 Category:Python exercises CategoryWeight:20>,Module 10 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Python exercises Subtotal Numerator,Python exercises Subtotal Denominator,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Adjusted Final Grade Numerator,Adjusted Final Grade Denominator,End-of-Line Indicator
#150804.teststudent1,,,,,,,,,,,,,,0,20,0,100,,,#
#150804.teststudent2,,,,,,,,,,,,,,0,20,0,100,,,#
#a32li,,,,66.66666667,100,,,,,,,,,2.083333333,20,2.083333333,100,,,#
#a369wang,,,,83.33333333,100,,,,,,,,,2.291666667,20,2.291666667,100,,,#
#a3sasith,,,,83.33333333,100,,,,,,,,,2.291666667,20,2.291666667,100,,,#
#a4parent,,,,66.66666667,40,,,,,,,,,1.333333333,20,1.333333333,100,,,#
#a77xu,,,,50,100,,,,,,,,,1.875,20,1.875,100,,,#
#a7sun,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#alharina,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#am2dave,,,,91.66666667,100,,,,,,,,,2.395833333,20,2.395833333,100,,,#
#amirzaei,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#asmetani,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#avataliy,,,,16.66666667,40,,,,,,,,,0.708333333,20,0.708333333,100,,,#
#ayzheng,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#b29li,,,,75,60,,,,,,,,,1.6875,20,1.6875,100,,,#
#bdindyal,,,,100,60,,,,,,,,,2,20,2,100,,,#
#bliang,,,,83.33333333,100,,,,,,,,,2.291666667,20,2.291666667,100,,,#
#c27zhang,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
